Frame,Sub Frame,head,,,chest,,,leftshoulder,,,rightshoulder,,,leftelbow,,,rightelbow,,,lefthand,,,righthand,,,lefthip,,,righthip,,,leftknee,,,rightknee,,,leftfoot,,,rightfoot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
Frames,Frames,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
205,0,58.664,-659.117,-133.013,35.897,-548.902,34.627,105.831,-505.610,119.227,-34.038,-592.194,-49.974,,,,-130.953,-627.573,-274.797,220.353,-531.241,651.182,-187.541,-807.223,-457.382,45.257,-5.491,103.022,-42.749,0.317,-97.352,256.684,268.816,18.613,204.784,255.315,-131.324,229.366,638.981,126.071,94.466,569.907,72.648
206,0,68.702,-656.372,-94.944,36.097,-544.628,53.443,105.407,-490.095,143.384,-33.213,-599.161,-36.498,,,,-131.007,-633.343,-241.303,142.909,-200.398,507.143,-192.096,-806.972,-423.100,46.422,-4.614,103.191,-44.033,-0.475,-97.570,264.140,268.239,-0.301,191.914,255.013,-165.530,236.513,636.234,109.237,94.105,574.147,4.863
207,0,70.406,-653.227,-62.220,34.075,-539.516,83.583,104.543,-476.423,168.764,-36.392,-602.609,-1.598,,,,-141.573,-651.596,-199.776,134.798,-203.940,525.964,-205.720,-809.500,-379.164,46.855,-3.814,102.419,-44.530,-1.152,-96.773,267.147,272.577,-19.487,188.728,258.364,-188.277,248.419,643.030,73.209,94.520,577.203,-30.521
208,0,69.024,-646.762,-57.471,23.689,-533.898,101.408,95.068,-463.497,188.210,-47.689,-604.300,14.606,,,,-160.585,-651.064,-186.861,157.722,-298.408,584.911,-222.339,-810.291,-363.158,46.797,-0.102,101.383,-44.472,-4.567,-95.613,267.378,287.931,-22.111,178.803,270.659,-178.496,260.458,659.707,53.675,94.507,590.874,-16.937
209,0,54.813,-640.507,-44.065,13.880,-526.597,109.683,96.335,-449.179,189.379,-68.575,-604.014,29.986,,,,-180.632,-634.258,-150.898,154.789,-71.916,335.157,-240.467,-790.363,-317.657,50.051,1.503,96.960,-47.802,-6.252,-91.874,268.538,289.612,-14.293,160.560,279.580,-175.180,263.857,656.543,57.471,93.842,610.483,-14.765
210,0,50.221,-638.166,-47.054,2.845,-528.235,101.198,85.234,-451.805,183.937,-79.544,-604.665,18.458,,,,-187.127,-609.922,-167.198,124.413,-114.992,292.075,-256.232,-762.566,-333.996,50.946,2.881,95.699,-48.867,-7.696,-90.879,268.370,296.409,-13.464,151.149,285.987,-155.752,262.438,661.098,63.950,94.075,628.548,-1.432
211,0,53.795,-618.411,-51.231,-4.791,-528.292,96.642,81.250,-453.442,178.931,-90.833,-603.143,14.354,,,,-192.022,-602.408,-175.406,143.237,-455.637,539.754,-262.976,-763.137,-350.336,51.627,3.368,95.325,-49.800,-8.391,-90.490,265.416,312.586,-7.123,144.934,287.317,-143.018,260.133,676.535,73.398,94.835,633.595,16.044
212,0,51.708,-618.826,-62.774,-12.751,-529.025,89.273,68.395,-455.243,174.807,-93.897,-602.807,3.738,,,,-190.728,-579.978,-184.956,147.107,-488.028,595.545,-269.480,-735.769,-355.109,51.530,4.781,95.778,-49.718,-10.037,-90.983,260.082,318.871,15.606,137.700,285.203,-129.690,257.719,684.893,87.070,95.694,633.061,24.928
213,0,43.286,-619.640,-65.000,-20.694,-529.196,79.646,63.480,-455.818,173.100,-104.868,-602.573,-13.808,,,,-192.576,-571.954,-213.507,150.482,-486.286,573.586,-276.599,-720.252,-386.737,51.574,5.426,96.098,-49.837,-10.889,-91.390,257.073,321.663,40.624,135.520,283.749,-118.084,259.431,689.242,115.179,97.973,632.485,29.160
214,0,32.121,-616.204,-66.122,-26.931,-526.431,73.394,64.396,-456.267,160.976,-118.258,-596.596,-14.188,,,,-196.189,-557.539,-211.789,138.636,-488.557,545.629,-292.652,-704.928,-372.922,53.368,5.565,93.918,-51.870,-11.084,-89.547,254.172,320.327,38.545,120.153,282.973,-109.825,267.691,686.699,106.522,96.838,632.187,42.299
215,0,8.997,-616.623,-79.873,-37.195,-524.159,64.810,60.511,-456.922,144.630,-134.900,-591.396,-15.011,,,,-205.008,-542.295,-214.748,130.819,-466.812,469.549,-297.799,-675.726,-387.553,54.644,5.510,92.353,-53.156,-11.060,-88.128,244.337,324.562,36.431,116.275,284.248,-109.372,266.964,691.291,100.700,97.982,635.403,42.273
216,0,-12.654,-616.989,-92.144,-45.939,-519.087,63.486,60.694,-457.250,137.210,-152.572,-580.924,-10.238,,,,-232.624,-523.789,-215.337,126.636,-452.362,458.032,-320.696,-647.616,-403.450,55.803,5.289,87.174,-54.540,-10.925,-83.093,232.174,337.733,26.488,110.320,291.230,-111.024,267.576,702.330,90.337,96.172,641.418,41.951
217,0,-28.506,-621.013,-65.442,-61.330,-516.706,88.873,46.800,-456.253,156.537,-169.461,-577.158,21.209,,,,-241.005,-509.263,-176.022,123.869,-444.430,462.929,-341.345,-621.260,-368.873,56.522,5.488,85.563,-55.446,-11.092,-81.456,229.914,344.563,13.452,110.221,297.394,-122.571,266.921,709.691,58.312,96.778,656.338,-21.937
218,0,-56.762,-616.544,-56.712,-72.512,-503.158,111.761,51.277,-452.608,157.202,-196.301,-553.708,66.320,,,,-291.407,-441.577,-120.098,109.321,-371.310,128.513,-363.609,-548.571,-318.300,63.843,4.589,77.785,-62.835,-10.416,-74.033,212.996,356.727,-30.857,79.814,302.044,-124.360,264.722,719.982,15.093,78.788,672.974,-19.269
219,0,-73.065,-608.386,-24.374,-81.848,-484.692,138.356,52.973,-437.050,172.947,-216.668,-532.335,103.765,,,,-290.758,-396.005,-77.725,98.526,-352.252,43.020,-370.807,-506.137,-281.657,70.348,4.252,72.801,-69.423,-10.188,-68.868,207.767,360.355,-60.353,76.299,304.587,-144.356,260.402,720.037,-9.043,71.226,685.636,-48.608
220,0,-77.551,-609.226,-31.209,-85.971,-484.329,133.677,49.316,-439.256,174.556,-221.259,-529.403,92.798,,,,-301.316,-392.347,-95.152,,,,-382.004,-469.840,-296.059,71.166,3.420,71.411,-70.435,-9.507,-67.564,198.256,368.757,-54.314,67.227,310.999,-142.851,255.411,730.403,-15.800,67.039,697.689,-42.870
221,0,-88.701,-607.688,-22.174,-83.076,-487.263,141.426,49.872,-444.119,179.552,-216.023,-530.407,103.300,,,,-286.977,-371.463,-86.718,,,,-374.270,-428.586,-303.329,72.760,3.234,69.422,-72.234,-9.375,-65.496,192.291,369.378,-64.178,66.034,313.022,-155.798,253.500,730.300,-64.089,68.873,699.005,-106.101
222,0,-111.334,-607.631,10.121,-95.644,-485.601,169.562,35.778,-445.111,209.380,-227.066,-526.091,129.745,,,,-293.739,-347.552,-59.769,,,,-377.175,-403.267,-286.424,73.564,3.362,68.153,-73.185,-9.525,-64.117,190.868,371.267,-73.006,63.969,311.922,-185.656,253.445,728.311,-95.184,66.530,694.198,-150.035
223,0,-103.685,-604.487,8.292,-92.758,-487.660,148.375,36.280,-452.973,187.355,-221.795,-522.347,109.395,,,,-290.851,-349.110,-68.894,,,,-371.654,-401.160,-283.492,74.923,0.998,67.053,-74.417,-7.521,-63.149,189.702,367.540,-68.380,58.266,313.467,-169.295,253.150,727.666,-58.425,68.069,704.547,-113.008
224,0,-118.818,-605.324,-6.802,-97.190,-485.258,147.151,35.748,-455.952,185.079,-230.128,-514.565,109.224,,,,-298.508,-328.742,-62.645,,,,-381.961,-371.792,-274.511,75.508,-0.025,66.298,-74.994,-6.658,-62.421,182.225,371.154,-67.027,49.376,314.288,-165.877,246.284,727.944,-59.852,59.958,704.316,-100.154
225,0,-135.292,-605.516,-7.761,-102.547,-486.171,154.284,34.897,-462.000,185.742,-239.990,-510.343,122.825,,,,-299.237,-327.611,-40.270,,,,-387.464,-348.341,-241.498,75.939,-1.442,65.001,-75.460,-5.402,-61.248,176.737,372.020,-63.092,46.995,320.096,-156.629,236.172,728.051,-48.562,61.370,717.576,-91.510
226,0,-149.397,-613.223,-17.949,-107.144,-491.944,140.665,28.316,-475.188,164.653,-242.603,-508.701,116.677,,,,-295.131,-328.647,-44.883,,,,-383.211,-333.513,-268.851,75.745,-3.094,63.008,-75.311,-3.993,-59.263,174.978,370.822,-62.485,46.681,318.948,-155.429,233.088,727.153,-41.204,62.263,714.601,-105.502
227,0,-160.919,-613.253,-60.542,-112.873,-486.438,114.476,24.028,-479.480,128.504,-249.774,-493.396,100.449,,,,-294.738,-312.455,-82.182,,,,-381.799,-305.862,-314.156,75.837,-5.041,58.808,-75.546,-2.323,-55.267,168.108,371.283,-60.805,34.931,318.366,-142.410,231.850,729.348,-39.766,61.995,715.470,-102.070
228,0,-185.562,-616.265,-98.494,-121.385,-495.220,71.307,22.027,-497.159,71.422,-264.798,-493.280,71.193,,,,-312.669,-314.094,-112.808,,,,-389.742,-302.644,-346.143,76.826,-9.670,52.074,-76.728,2.090,-48.765,167.967,372.966,-50.724,21.604,322.230,-119.154,231.946,730.609,1.436,62.788,730.431,-45.859
229,0,-223.582,-610.369,-134.919,-129.241,-493.985,33.153,14.696,-500.223,15.496,-273.178,-487.747,50.810,,,,-325.092,-321.684,-123.501,50.381,-404.262,-199.664,-397.749,-299.092,-348.040,77.202,-14.456,43.153,-77.252,7.015,-40.169,168.383,372.650,-35.966,7.202,326.825,-75.611,228.829,722.577,54.658,62.833,732.246,26.352
230,0,-238.753,-598.080,-119.482,-133.726,-497.582,17.765,-0.881,-506.488,-15.515,-266.572,-488.677,51.045,,,,-319.388,-316.321,-122.671,51.068,-404.333,-254.674,-393.697,-270.256,-343.697,77.141,-16.330,33.854,-77.144,9.018,-31.309,168.117,371.880,-29.595,2.845,328.601,-57.618,221.995,720.586,64.749,67.019,733.310,37.431
231,0,-245.029,-602.441,-132.507,-143.486,-499.573,24.308,-0.306,-517.094,-1.679,-286.665,-482.053,50.296,156.739,-501.044,-145.913,-327.079,-302.925,-120.670,54.737,-435.775,-245.279,-396.935,-252.325,-341.198,78.346,-19.349,32.913,-78.464,12.196,-30.266,164.974,373.387,-18.484,9.538,329.560,-63.012,217.001,726.328,83.783,67.142,752.351,30.727
232,0,-263.536,-602.726,-170.435,-154.795,-498.283,2.897,-9.146,-523.616,-36.057,-300.445,-472.950,41.852,143.371,-524.728,-190.644,-325.802,-293.670,-119.737,40.642,-452.627,-287.157,-399.567,-245.401,-339.860,80.206,-21.754,29.104,-80.572,14.776,-26.492,165.831,373.098,-0.792,14.170,332.372,-59.461,217.074,725.340,142.957,67.590,764.604,24.315
233,0,-284.270,-603.063,-187.361,-158.495,-497.490,-10.113,-14.585,-524.695,-62.862,-302.406,-470.285,42.636,134.092,-543.380,-214.287,-329.624,-303.216,-32.260,20.959,-458.090,-288.916,-401.978,-242.473,-141.380,82.656,-22.619,24.798,-82.954,15.804,-23.152,170.661,372.680,-4.030,12.462,332.660,-66.342,218.052,725.149,125.694,67.580,763.494,19.515
234,0,-287.417,-600.467,-204.544,-167.922,-496.273,-9.436,-19.608,-531.625,-58.739,-316.237,-460.921,39.867,125.143,-570.090,-203.192,-331.797,-282.341,-52.026,6.916,-471.404,-268.904,-401.363,-202.260,-206.265,85.695,-23.945,24.966,-86.233,17.107,-23.133,171.359,373.722,-6.646,14.726,332.228,-82.582,216.371,726.449,138.726,65.466,776.267,-18.518
235,0,-303.448,-575.673,-180.303,-185.191,-494.817,-25.802,-63.339,-529.338,-81.976,-307.043,-460.296,30.372,78.760,-578.851,-214.990,-262.970,-269.302,-93.127,-14.344,-485.541,-260.312,-373.750,-184.180,-261.756,83.050,-23.587,24.146,-83.799,16.736,-21.992,177.825,367.909,-5.276,6.196,310.964,-83.100,217.915,705.256,140.651,68.362,745.711,-28.009
236,0,-321.507,-558.567,-172.200,-187.557,-486.842,-22.785,-70.536,-528.767,-78.538,-304.578,-444.916,32.968,64.086,-595.607,-217.804,-250.149,-236.032,-93.469,-44.745,-487.584,-246.058,-359.068,-150.632,-267.481,82.999,-23.353,23.108,-83.732,16.588,-20.872,180.057,368.752,-2.557,-8.025,305.487,-83.990,213.348,702.846,174.781,62.134,745.138,-26.182
237,0,-321.899,-565.530,-183.033,-194.890,-483.204,-12.250,-61.475,-537.112,-58.613,-328.304,-429.296,34.112,67.040,-638.749,-186.775,-259.958,-218.244,-80.821,-38.351,-529.449,-223.264,-355.840,-139.499,-252.447,85.394,-24.504,23.790,-86.254,17.895,-21.627,178.547,374.063,-4.618,-3.718,306.126,-97.547,203.391,719.081,150.419,50.227,764.745,-31.463
238,0,-331.561,-568.347,-189.085,-203.748,-479.110,-6.502,-69.933,-536.116,-47.456,-337.562,-422.104,34.452,49.031,-668.131,-161.862,-265.422,-210.193,0.668,-49.660,-570.134,-103.387,-349.231,-119.806,-101.331,85.752,-24.303,23.386,-86.555,17.752,-21.616,175.912,379.604,-17.046,-2.845,311.871,-82.501,198.633,727.367,143.356,37.901,770.853,13.265
239,0,-332.980,-568.701,-193.140,-210.531,-473.059,-4.199,-75.102,-534.613,-43.146,-345.961,-411.505,34.748,31.061,-692.999,-86.565,-268.727,-215.201,32.671,-75.341,-596.857,25.267,-350.356,-122.336,-10.364,86.001,-24.196,23.894,-86.831,17.817,-22.112,175.634,379.256,-17.542,-2.843,313.171,-83.458,197.888,727.014,124.957,29.291,774.271,9.843
240,0,-349.200,-561.050,-206.478,-219.131,-463.508,-4.132,-85.579,-535.700,-38.769,-352.683,-391.315,30.505,19.427,-718.306,-75.892,-261.127,-191.778,24.665,-75.570,-627.680,7.426,-330.799,-103.219,-38.968,86.218,-25.010,24.236,-87.054,19.087,-22.508,175.702,379.008,-17.699,-2.808,318.585,-84.503,198.187,726.674,121.615,22.161,777.793,13.455
241,0,-358.399,-562.584,-199.290,-226.680,-466.048,4.573,-94.617,-546.807,-24.393,-358.742,-385.290,33.539,-4.051,-752.757,-63.678,-250.560,-173.420,13.859,-75.351,-662.803,8.598,-317.391,-90.302,-98.610,86.261,-25.803,24.301,-87.111,20.265,-22.550,177.060,379.430,-18.951,1.019,318.655,-89.951,199.112,727.522,120.244,22.051,776.941,12.256
242,0,-377.284,-559.572,-195.875,-238.076,-465.687,19.221,-111.248,-549.168,-4.393,-364.903,-382.206,42.835,-28.396,-770.517,-18.880,-247.588,-171.895,53.508,-94.785,-686.399,101.011,-310.156,-85.633,-20.778,86.197,-25.860,24.000,-87.075,20.523,-22.409,177.106,379.364,-18.953,0.715,317.516,-91.803,198.629,730.802,118.140,14.585,774.946,17.778
243,0,-397.685,-549.551,-178.294,-254.579,-462.118,39.510,-129.998,-554.143,11.278,-379.160,-370.094,67.742,-52.788,-786.674,-33.854,-240.181,-144.313,30.517,-101.543,-742.266,31.332,-301.337,-74.534,-149.403,86.155,-27.366,22.269,-87.031,22.337,-19.982,176.941,383.403,-23.588,2.027,317.652,-89.768,199.209,736.157,124.742,17.425,775.095,42.856
244,0,-396.494,-555.853,-146.088,-267.358,-463.857,54.301,-145.987,-560.115,37.546,-388.728,-367.599,71.057,-81.049,-792.976,-9.111,-236.277,-142.801,29.513,-113.196,-760.006,29.781,-291.383,-69.274,-186.371,85.946,-30.061,22.743,-86.892,25.286,-20.174,176.910,384.210,-24.638,5.457,319.396,-92.995,199.026,737.312,131.820,18.998,779.133,52.121
245,0,-407.738,-549.119,-130.790,-269.319,-464.634,62.155,-146.567,-560.181,36.802,-392.071,-369.087,87.508,-94.308,-809.722,-6.033,-232.535,-148.202,17.934,-119.794,-812.977,49.277,-277.537,-68.041,-192.424,85.914,-30.032,20.653,-86.851,25.345,-17.800,175.400,385.802,-46.569,5.613,320.218,-93.310,197.634,738.868,121.168,19.935,772.690,75.867
246,0,-414.601,-542.824,-121.166,-273.896,-459.434,69.236,-149.805,-558.303,47.842,-397.988,-360.565,90.630,-102.759,-808.315,44.804,-233.456,-132.134,9.323,-140.833,-853.154,142.245,-263.780,-52.285,-217.171,85.871,-30.954,20.738,-86.816,26.651,-18.047,174.694,385.534,-45.783,5.375,328.188,-90.970,193.675,737.140,123.276,14.442,769.359,98.781
247,0,-411.657,-541.753,-121.601,-277.527,-457.512,66.756,-153.368,-557.223,43.810,-401.686,-357.801,89.702,-116.592,-794.443,46.032,-233.024,-128.838,-9.066,-149.610,-877.015,130.226,-259.425,-54.417,-237.766,85.835,-31.971,20.441,-86.779,27.940,-17.262,170.682,385.358,-47.924,2.431,336.543,-80.050,188.670,735.919,126.844,9.607,762.714,136.564
248,0,-424.816,-527.595,-105.729,-282.355,-453.949,68.949,-162.259,-556.721,49.063,-402.452,-351.177,88.836,-132.464,-780.582,105.914,-235.120,-123.538,-35.097,-142.828,-895.001,241.530,-265.529,-59.033,-258.197,85.710,-35.429,21.447,-86.700,31.769,-17.473,168.041,383.520,-54.185,-1.171,339.547,-84.068,184.488,726.858,125.919,-0.389,752.043,135.321
249,0,-431.367,-521.840,-97.016,-286.307,-451.757,72.201,-169.064,-555.944,53.576,-403.550,-347.570,90.827,-144.478,-782.645,99.038,-235.415,-116.353,-39.764,-153.634,-925.741,213.252,-262.527,-54.538,-257.466,85.477,-36.929,22.032,-86.545,33.360,-17.610,163.122,382.829,-52.722,-4.285,339.804,-84.460,183.657,722.124,130.647,-1.027,751.185,133.453
250,0,-427.243,-503.118,-92.066,-294.232,-448.071,72.216,-183.835,-551.226,52.959,-404.629,-344.915,91.472,-149.851,-777.890,69.286,-229.621,-112.681,-39.630,-166.760,-924.005,133.396,-253.954,-54.686,-246.159,84.488,-37.406,22.128,-85.624,33.711,-17.737,159.036,381.092,-51.863,-11.065,342.433,-72.700,181.725,717.546,127.203,-1.157,748.205,138.974
251,0,-427.422,-505.076,-97.615,-295.773,-441.777,70.317,-185.405,-547.564,50.197,-406.140,-335.991,90.438,-160.900,-775.450,55.964,-230.165,-105.288,-45.034,-188.484,-950.006,108.848,-258.171,-53.519,-255.634,83.751,-38.131,21.903,-84.892,34.408,-17.298,151.680,377.300,-61.781,-13.306,343.384,-73.814,174.190,714.119,125.967,-7.887,745.114,139.439
252,0,-425.811,-501.613,-99.483,-297.597,-438.792,64.391,-189.755,-547.495,47.093,-405.439,-330.089,81.690,-179.308,-788.260,50.521,-231.092,-103.847,-72.118,-209.049,-988.794,87.062,-261.699,-57.421,-288.091,82.169,-38.716,21.820,-83.353,34.966,-17.091,148.820,373.790,-67.817,-12.911,342.867,-74.857,174.999,710.882,123.520,-6.488,740.630,137.068
253,0,-423.417,-487.252,-100.788,-300.808,-428.335,65.063,-195.128,-532.864,45.754,-406.489,-323.807,84.372,-194.004,-777.927,45.648,-231.820,-101.424,-71.014,-223.889,-968.511,79.383,-259.574,-58.676,-281.415,81.335,-39.296,21.604,-82.552,35.558,-16.642,149.050,373.273,-66.396,-14.992,344.024,-59.699,175.751,692.220,128.566,-5.225,731.224,160.471
254,0,-425.433,-480.940,-107.694,-300.542,-423.706,63.701,-194.647,-531.836,43.236,-406.437,-315.576,84.165,-202.045,-779.445,43.128,-237.348,-100.046,-65.218,-233.237,-983.162,76.544,-260.741,-60.499,-270.782,80.741,-40.213,20.578,-81.950,36.574,-15.293,149.674,369.998,-84.584,-17.821,348.087,-61.596,176.331,686.143,120.251,-8.129,731.264,156.907
255,0,-430.216,-481.753,-108.041,-302.016,-420.596,63.206,-196.912,-528.777,42.428,-407.119,-312.414,83.985,-210.567,-777.905,40.968,-246.882,-99.953,-63.407,-240.434,-981.310,76.059,-266.969,-61.985,-268.852,80.071,-41.069,20.359,-81.292,37.509,-14.940,150.240,368.903,-83.139,-18.481,353.016,-60.477,176.742,689.112,120.055,-9.624,731.608,163.190
256,0,-432.404,-463.427,-114.514,-306.183,-418.938,60.291,-203.820,-527.466,36.680,-408.545,-310.411,83.902,-221.189,-777.651,34.171,-248.565,-101.398,-61.313,-253.289,-988.008,63.254,-269.031,-70.473,-265.434,79.716,-41.454,19.576,-80.951,37.944,-13.946,160.527,362.709,-85.772,-19.957,352.421,-56.262,182.907,676.413,119.165,-10.432,724.429,172.291
257,0,-430.643,-453.466,-122.053,-308.880,-408.867,60.488,-208.595,-518.982,37.202,-409.165,-298.753,83.775,-230.176,-776.375,41.645,-252.411,-92.492,-59.850,-261.617,-982.954,70.070,-274.010,-71.058,-262.945,79.196,-41.947,19.579,-80.398,38.502,-13.905,166.297,363.098,-85.621,-19.565,361.368,-57.411,185.659,679.279,119.783,-9.913,725.324,169.866
258,0,-438.587,-438.594,-123.181,-309.494,-409.116,59.242,-210.305,-520.137,28.934,-408.684,-298.095,89.549,-237.405,-776.170,31.688,-250.862,-88.614,-38.114,-270.559,-972.798,61.196,-274.182,-74.348,-243.841,78.991,-42.253,15.362,-80.166,38.846,-9.516,174.365,358.722,-96.357,-19.421,361.246,-52.102,194.036,666.888,119.363,-7.177,719.067,188.794
259,0,-442.598,-430.346,-119.576,-315.796,-406.373,63.655,-220.002,-519.389,30.545,-411.590,-293.357,96.765,-250.014,-765.656,39.435,-251.806,-76.028,-21.310,-281.104,-964.342,79.110,-278.338,-75.026,-220.065,78.707,-42.831,14.837,-79.831,39.519,-8.876,179.509,355.277,-93.604,-19.218,360.851,-52.395,197.930,661.462,122.848,-5.547,713.212,197.856
260,0,-447.506,-433.084,-119.876,-319.418,-405.856,63.246,-224.841,-519.243,29.587,-413.995,-292.469,96.906,-256.926,-765.156,37.095,-252.635,-79.069,-21.322,-288.813,-962.501,73.819,-281.848,-77.377,-219.345,78.358,-43.153,13.911,-79.466,39.865,-7.941,180.834,353.043,-95.949,-19.231,360.528,-48.294,201.681,663.518,119.353,-5.349,713.853,196.190
261,0,-445.362,-426.720,-105.726,-319.742,-399.726,81.595,-225.766,-515.417,52.668,-413.717,-284.036,110.521,-259.945,-760.431,66.650,-248.454,-71.287,-7.959,-294.897,-959.689,112.167,-281.834,-76.179,-203.005,78.335,-43.419,13.755,-79.432,40.182,-7.702,185.459,349.747,-99.090,-21.600,360.713,-47.899,201.397,662.851,103.716,-7.123,707.698,199.434
262,0,-444.707,-422.313,-103.632,-320.503,-394.655,88.435,-227.447,-511.629,55.151,-413.560,-277.681,121.719,-266.180,-756.985,66.924,-248.467,-71.644,5.183,-302.836,-957.704,116.355,-286.879,-75.622,-192.130,78.225,-43.597,10.876,-79.318,40.380,-4.638,191.184,349.695,-105.835,-30.756,360.352,-41.040,202.635,664.475,83.262,-7.696,703.029,201.125
263,0,-439.212,-415.617,-81.459,-315.919,-386.547,113.222,-225.586,-505.338,82.585,-406.252,-267.756,143.859,-270.317,-748.506,92.687,-243.164,-68.292,26.984,-310.343,-951.644,152.320,-287.408,-75.611,-166.037,77.581,-44.180,10.087,-78.687,41.052,-3.705,201.680,347.768,-105.508,-35.286,356.207,-38.868,204.630,665.800,77.035,-10.030,688.387,204.464
264,0,-436.003,-412.430,-86.292,-315.485,-384.282,105.707,-225.545,-501.384,75.578,-405.424,-267.179,135.837,-278.302,-740.954,82.902,-243.226,-67.926,17.778,-325.115,-941.853,139.271,-291.366,-78.113,-175.098,77.540,-44.199,9.590,-78.651,41.070,-3.208,209.004,344.585,-109.053,-46.762,347.569,-40.011,210.251,663.130,65.790,-11.649,675.409,205.180
265,0,-426.345,-415.987,-87.546,-316.842,-379.787,104.322,-228.976,-495.812,77.056,-404.707,-263.763,131.588,-285.715,-722.099,91.238,-243.914,-65.727,13.070,-339.404,-923.780,146.807,-299.685,-78.020,-181.198,77.276,-44.315,9.671,-78.400,41.184,-3.308,210.683,342.990,-114.708,-51.664,346.843,-37.091,214.972,662.071,42.503,-13.012,675.111,212.971
266,0,-424.213,-414.688,-69.728,-318.905,-375.604,125.234,-233.452,-491.459,98.220,-404.357,-259.749,152.249,-294.964,-707.725,118.976,-244.338,-65.730,29.421,-352.954,-897.605,175.842,-303.228,-78.482,-165.454,76.948,-44.856,9.131,-78.124,41.696,-2.670,211.277,340.103,-113.726,-66.463,334.909,-37.958,215.193,655.397,47.443,-20.374,660.877,210.258
267,0,-425.198,-416.020,-68.015,-321.568,-372.100,125.622,-239.804,-490.744,94.150,-403.331,-253.456,157.094,-300.355,-700.108,110.757,-240.361,-63.413,34.226,-362.902,-879.368,166.211,-305.405,-68.476,-163.908,76.677,-45.521,6.790,-77.895,42.373,-0.361,214.266,340.154,-120.834,-66.965,334.309,-30.691,218.190,656.464,33.351,-19.749,659.935,220.985
268,0,-432.952,-413.352,-87.048,-324.071,-368.935,111.794,-242.551,-488.133,72.173,-405.591,-249.736,151.415,-314.285,-700.018,78.091,-241.888,-63.014,28.854,-389.060,-875.112,138.595,-319.878,-65.877,-168.715,76.656,-45.772,3.544,-77.874,42.630,2.723,217.710,339.348,-120.602,-72.895,335.202,-29.088,232.847,661.856,39.300,-23.493,664.735,217.735
269,0,-447.864,-414.913,-108.755,-331.185,-369.128,90.444,-251.707,-488.177,34.110,-410.662,-250.080,146.778,-325.572,-697.763,32.159,-253.996,-63.467,25.595,-405.603,-863.446,81.876,-340.370,-66.637,-171.748,76.186,-46.048,-1.157,-77.505,42.855,7.065,216.019,335.789,-119.407,-80.247,335.863,-15.888,243.309,666.941,41.902,-27.554,667.247,221.689
270,0,-461.403,-415.952,-113.780,-338.530,-367.859,89.357,-259.555,-487.061,34.698,-417.504,-248.657,144.017,-337.382,-691.173,37.410,-262.167,-61.904,26.779,-415.907,-843.517,88.804,-347.492,-66.021,-173.536,75.899,-46.144,-3.002,-77.260,42.968,8.831,214.775,337.904,-120.192,-82.599,337.816,-15.868,245.770,684.782,38.913,-33.109,675.374,226.410
271,0,-468.370,-412.388,-116.975,-341.699,-360.055,91.320,-261.816,-478.503,36.523,-421.582,-241.607,146.116,-345.692,-675.068,40.031,-263.530,-61.183,29.219,-430.915,-831.115,118.869,-350.066,-62.538,-176.195,75.795,-46.231,-6.085,-77.173,43.085,11.986,213.932,349.539,-131.467,-84.900,338.282,-14.034,244.274,696.188,22.981,-33.315,676.149,252.156
272,0,-475.312,-413.176,-121.980,-345.599,-355.751,87.743,-266.555,-477.457,36.357,-424.642,-234.044,139.128,-368.230,-682.157,44.391,-263.942,-60.556,8.847,-454.510,-837.150,161.271,-355.310,-57.685,-219.871,75.772,-46.346,-6.020,-77.161,43.278,11.903,221.592,351.250,-136.030,-86.743,338.858,-13.587,253.182,705.061,12.611,-40.852,682.383,259.221
273,0,-491.637,-413.593,-123.163,-351.108,-354.705,79.491,-273.743,-477.932,25.109,-428.473,-231.479,133.874,-387.613,-685.466,29.455,-266.107,-58.849,1.880,-480.220,-819.339,154.255,-360.536,-51.044,-234.629,75.712,-46.431,-7.871,-77.144,43.421,13.461,224.236,352.985,-137.122,-88.982,339.155,-5.792,259.954,709.984,16.499,-42.826,685.519,263.912
274,0,-493.935,-411.174,-126.261,-358.855,-348.747,78.277,-279.510,-473.415,27.750,-438.200,-224.079,128.805,-394.267,-686.027,31.202,-272.765,-49.714,-0.585,-497.810,-788.568,185.347,-365.977,-43.820,-229.695,75.684,-46.215,-8.109,-77.133,43.313,13.570,226.171,354.179,-135.538,-100.494,337.434,0.073,264.338,711.331,18.496,-50.633,686.776,269.817
275,0,-499.026,-403.889,-145.843,-361.636,-337.619,69.234,-281.313,-466.412,27.027,-441.959,-208.827,111.441,-399.992,-685.069,33.891,-273.409,-34.268,-24.989,-512.151,-752.979,224.844,-363.667,-26.290,-258.965,75.598,-46.194,-8.029,-77.113,43.332,13.428,231.956,354.236,-134.924,-100.520,338.216,-1.889,277.690,711.460,20.920,-59.045,691.045,273.563
